"SRC_SYSTEM","SCENARIO","BUSINESS_DT","DT","PLANT_PRODUCT_ID","BP","PLAN","PPR","FORECAST","FACT"
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-31,[MENGE_13_1-_01-M],2165.97900,1998.80700,1998.81000,1917.32100,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-01,[MENGE_13_1-_01-V],963.40000,889.04400,889.04500,,785.73600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-02,[MENGE_13_1-_01-V],963.40000,889.04400,889.04500,,718.82300
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-03,[MENGE_13_1-_01-V],767.46700,708.23300,708.23400,,720.97200
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-04,[MENGE_13_1-_01-V],774.91300,715.10500,715.10600,,722.79700
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-05,[MENGE_13_1-_01-V],963.40000,889.04400,889.04500,,758.42800
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-06,[MENGE_13_1-_01-V],978.22200,902.72200,902.72300,,710.22600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-07,[MENGE_13_1-_01-V],990.70800,914.24400,914.24500,,725.39100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-08,[MENGE_13_1-_01-V],980.02900,904.39000,904.39100,,699.82500
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-09,[MENGE_13_1-_01-V],980.02900,904.39000,904.38800,,708.84100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-10,[MENGE_13_1-_01-V],980.02900,904.39000,904.38800,,731.65200
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-11,[MENGE_13_1-_01-V],980.02900,904.39000,904.38800,,729.00900
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-12,[MENGE_13_1-_01-V],980.02900,904.39000,904.38800,,749.00400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-13,[MENGE_13_1-_01-V],779.32400,719.17500,719.17400,,739.58100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-14,[MENGE_13_1-_01-V],939.96000,867.41300,867.41200,,806.62100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-15,[MENGE_13_1-_01-V],785.03600,724.44600,724.44500,,723.85600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-16,[MENGE_13_1-_01-V],958.41100,884.44000,884.43900,,712.04100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-17,[MENGE_13_1-_01-V],958.41100,884.44000,884.43900,,720.82500
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-18,[MENGE_13_1-_01-V],962.38800,888.11000,888.10900,,720.34000
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-19,[MENGE_13_1-_01-V],878.13800,810.36300,810.36200,,794.67100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-20,[MENGE_13_1-_01-V],940.11900,867.56000,867.55900,,758.76900
